iso	minutes	views	likes	comments	perMin
2026-08-22T16:02:22.429Z	0.3	0	0	1	
2026-08-22T16:02:53.940Z	0.4	0	0	1	
2026-08-22T16:05:22.796Z	3.3	0	0	1	0.0
2026-08-22T16:05:54.339Z	3.4	5	0	1	1.7
2026-08-22T16:08:23.135Z	6.3	98	0	1	32.6
2026-08-22T16:08:54.691Z	6.4	116	0	1	36.9
2026-08-22T16:11:23.475Z	9.3	159	0	1	20.3
2026-08-22T16:11:55.039Z	9.4	161	0	1	15.0
2026-08-22T16:14:23.831Z	12.3	174	0	1	5.0
2026-08-22T16:14:55.435Z	12.4	174	0	1	4.3
2026-08-22T16:17:24.199Z	15.4	178	0	1	1.3
2026-08-22T16:17:55.761Z	15.4	178	0	1	1.3
2026-08-22T16:20:24.554Z	18.4	178	0	1	0.0
2026-08-22T16:20:56.107Z	18.4	179	0	1	0.3
2026-08-22T16:23:24.875Z	21.4	240	0	1	20.6
2026-08-22T16:23:56.470Z	21.4	268	0	1	29.6
2026-08-22T16:26:25.248Z	24.4	317	0	1	25.6
2026-08-22T16:26:56.818Z	24.4	323	1	1	18.3
2026-08-22T16:29:25.578Z	27.4	337	1	1	6.7
2026-08-22T16:29:57.165Z	27.4	337	1	1	4.7
2026-08-22T16:32:25.926Z	30.4	337	1	1	0.0
2026-08-22T16:32:57.499Z	30.4	337	1	1	0.0
2026-08-22T16:35:26.253Z	33.4	337	1	1	0.0
2026-08-22T16:35:57.844Z	33.4	337	1	1	0.0
2026-08-22T16:38:26.576Z	36.4	337	1	1	0.0
2026-08-22T16:38:58.167Z	36.5	337	1	1	0.0
2026-08-22T16:41:26.906Z	39.4	337	1	1	0.0
2026-08-22T16:41:58.499Z	39.5	337	1	1	0.0
2026-08-22T16:44:27.270Z	42.4	337	1	1	0.0
2026-08-22T16:44:58.866Z	42.5	337	1	1	0.0
2026-08-22T16:47:27.608Z	45.4	337	1	1	0.0
2026-08-22T16:47:59.216Z	45.5	337	1	1	0.0
2026-08-22T16:50:27.931Z	48.4	337	1	1	0.0
2026-08-22T16:50:59.546Z	48.5	337	1	1	0.0
2026-08-22T16:53:28.280Z	51.4	337	1	1	0.0
2026-08-22T16:53:59.892Z	51.5	337	1	1	0.0
2026-08-22T16:56:28.637Z	54.4	337	1	1	0.0
2026-08-22T16:57:00.219Z	54.5	337	1	1	0.0
2026-08-22T16:59:28.974Z	57.4	337	1	1	0.0
2026-08-22T17:00:00.557Z	57.5	337	1	1	0.0
2026-08-22T17:02:29.493Z	60.4	326	1	1	-3.7
2026-08-22T17:03:01.018Z	60.5	326	1	1	-3.7
2026-08-22T17:05:29.946Z	63.4	337	1	1	3.7
2026-08-22T17:06:01.391Z	63.5	337	1	1	3.7
2026-08-22T17:08:30.297Z	66.5	337	1	1	0.0
