클러스터 signum-redis · cache.t3.small · redis 7.1.0 · 노드 1 · available · 파라미터그룹 default.redis7

[signum-redis] 일별 (UTC) — 최근 14일
날짜        Evict  CurrItems  Mem%   MB    Hits       Misses     GET        SET        CPU%  NetOutMB Conn
2026-09-04      0      19748  64.1   675     722921    1016736     939910     473780   1.9    93577   13
2026-09-05      0      18561  60.8   640     466418     916505     509546     215711   1.2    73674   12
2026-09-06      0      23577  65.0   684     592746    1002090     704468     315377   2.4    80795   12
2026-09-07      0      19230  54.5   573    1061456    1754351    1574382     893091   2.0    86051   13
2026-09-08      0      20964  59.1   622     775633    1390809    1055868     562641   1.7    92350   13
2026-09-09      0      20496  59.0   621     813913    1253872    1009584     502957   2.0   157884   12
2026-09-10      0      19489  63.9   672     635197     986505     757868     391679   2.1   114261   12
2026-09-11      0      19551  65.8   692     704540    1002242     862712     416462   1.9   136727   13
2026-09-12      0      18890  64.1   674     364520     660995     380389     155548   1.1    64161   12
2026-09-13      0      18190  59.5   626     386784     725716     429592     197733   1.2    71791   13
2026-09-14      0      17201  60.6   637    1066438    1200551    1499560     655270   1.8   378021   14
2026-09-15      0      22203  69.6   733    1306822    1436098    1778736     850425   2.2   314118   12
2026-09-16      0      22425  64.1   674     794141    1118367     963098     453373   2.2   132771   13
2026-09-17      0      23551  68.1   716     830896    1192549    1012582     502921   1.8   130948   12
